"Auftragskonto";"Buchungstag";"Valutadatum";"Buchungstext";"Verwendungszweck";"Beguenstigter/Zahlungspflichtiger";"Kontonummer/IBAN";"BIC (SWIFT-Code)";"Betrag";"Waehrung";"Info"
"DE12345678901234567890";"01.05.26";"01.05.26";"LOHN/GEHALT";"Gehalt Mai 2026";"Muster GmbH";"DE99000000000000000001";"GENODEF1XXX";"2850,00";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"02.05.26";"02.05.26";"DAUERAUFTRAG";"Miete Wohnung Hauptstrasse 5";"Immobilien Verwaltung KG";"DE88000000000000000002";"MARKDEF1XXX";"-980,00";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"03.05.26";"03.05.26";"KARTENZAHLUNG";"REWE SAGT DANKE";"REWE Markt GmbH";"DE77000000000000000003";"WELADED1XXX";"-64,37";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"05.05.26";"05.05.26";"LASTSCHRIFT";"Netflix Abonnement";"Netflix International B.V.";"NL11000000000000000004";"ABNANL2AXXX";"-17,99";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"06.05.26";"06.05.26";"KARTENZAHLUNG";"ARAL TANKSTELLE 4711";"Aral AG";"DE66000000000000000005";"COBADEFFXXX";"-72,10";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"09.05.26";"09.05.26";"KARTENZAHLUNG";"EDEKA Wocheneinkauf";"EDEKA Suedwest";"DE55000000000000000006";"GENODE61XXX";"-48,92";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"12.05.26";"12.05.26";"LASTSCHRIFT";"Spotify Premium";"Spotify AB";"SE22000000000000000007";"NDEASESSXXX";"-10,99";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"15.05.26";"15.05.26";"KARTENZAHLUNG";"Restaurant La Piazza";"La Piazza GmbH";"DE44000000000000000008";"SOLADEST600";"-53,50";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"18.05.26";"18.05.26";"KARTENZAHLUNG";"Amazon Bestellung 302-11";"Amazon EU S.a.r.l.";"LU33000000000000000009";"BILLLULLXXX";"-89,95";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"22.05.26";"22.05.26";"KARTENZAHLUNG";"Apotheke am Markt";"Markt Apotheke";"DE33000000000000000010";"GENODEF1XXX";"-23,40";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"28.05.26";"28.05.26";"KARTENZAHLUNG";"REWE SAGT DANKE";"REWE Markt GmbH";"DE77000000000000000003";"WELADED1XXX";"-57,12";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"01.06.26";"01.06.26";"LOHN/GEHALT";"Gehalt Juni 2026";"Muster GmbH";"DE99000000000000000001";"GENODEF1XXX";"2850,00";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"02.06.26";"02.06.26";"DAUERAUFTRAG";"Miete Wohnung Hauptstrasse 5";"Immobilien Verwaltung KG";"DE88000000000000000002";"MARKDEF1XXX";"-980,00";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"04.06.26";"04.06.26";"KARTENZAHLUNG";"DB Bahn Ticket Fernverkehr";"Deutsche Bahn AG";"DE22000000000000000011";"DEUTDEFFXXX";"-119,90";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"05.06.26";"05.06.26";"LASTSCHRIFT";"Netflix Abonnement";"Netflix International B.V.";"NL11000000000000000004";"ABNANL2AXXX";"-17,99";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"07.06.26";"07.06.26";"KARTENZAHLUNG";"REWE SAGT DANKE";"REWE Markt GmbH";"DE77000000000000000003";"WELADED1XXX";"-71,88";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"11.06.26";"11.06.26";"KARTENZAHLUNG";"ARAL TANKSTELLE 4711";"Aral AG";"DE66000000000000000005";"COBADEFFXXX";"-68,45";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"14.06.26";"14.06.26";"KARTENZAHLUNG";"H&M Kleidung";"H & M Hennes & Mauritz";"DE11000000000000000012";"COBADEFFXXX";"-42,99";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"19.06.26";"19.06.26";"KARTENZAHLUNG";"Kino CinemaxX";"CinemaxX AG";"DE10000000000000000013";"HASPDEHHXXX";"-24,00";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"24.06.26";"24.06.26";"KARTENZAHLUNG";"EDEKA Wocheneinkauf";"EDEKA Suedwest";"DE55000000000000000006";"GENODE61XXX";"-63,20";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"29.06.26";"29.06.26";"GUTSCHRIFT";"Erstattung Reisekosten";"Muster GmbH";"DE99000000000000000001";"GENODEF1XXX";"145,60";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"01.07.26";"01.07.26";"LOHN/GEHALT";"Gehalt Juli 2026";"Muster GmbH";"DE99000000000000000001";"GENODEF1XXX";"2850,00";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"02.07.26";"02.07.26";"DAUERAUFTRAG";"Miete Wohnung Hauptstrasse 5";"Immobilien Verwaltung KG";"DE88000000000000000002";"MARKDEF1XXX";"-980,00";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"03.07.26";"03.07.26";"KARTENZAHLUNG";"REWE SAGT DANKE";"REWE Markt GmbH";"DE77000000000000000003";"WELADED1XXX";"-59,73";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"05.07.26";"05.07.26";"LASTSCHRIFT";"Netflix Abonnement";"Netflix International B.V.";"NL11000000000000000004";"ABNANL2AXXX";"-17,99";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"08.07.26";"08.07.26";"KARTENZAHLUNG";"Fitnessstudio McFit Beitrag";"McFit GmbH";"DE09000000000000000014";"PBNKDEFFXXX";"-29,90";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"10.07.26";"10.07.26";"KARTENZAHLUNG";"ARAL TANKSTELLE 4711";"Aral AG";"DE66000000000000000005";"COBADEFFXXX";"-74,30";"EUR";"Umsatz gebucht"
"DE12345678901234567890";"12.07.26";"12.07.26";"KARTENZAHLUNG";"Restaurant Sushi Bar";"Sushi Bar Tokio";"DE08000000000000000015";"SOLADEST600";"-38,80";"EUR";"Umsatz gebucht"
